Seed Variety,Average Price per Kilo (PHP),Grain Length (mm),Grain Shape,Amylose content (percent),Gelatinization temperature (C),Crude protein,Instron cooked rice hardness,Raw Aroma,Raw Color,Raw Gloss,Raw Translucency,Raw Hardness,Cooked Aroma (freshly cooked),Cooked Aroma (staled),Cooked Color,Cooked Gloss,Cooked Cohesiveness,Cooked Tenderness,Cooked Smoothness,Cooked Taste,Average yield (t/ha),Maximum yield (t/ha),Maturity (days),Height (cm),Milling Recovery (percent),Reaction to Blast,Reaction to Bacterial Leaf Blight (BLB),Reaction to Tungro,Reaction to Brown Planthopper (BPH),Reaction to Green Leafhopper (GLH),Reaction to Stem Borer
PSB Rc32 (JARO),45.21,7,Slender,18.9,73.6,8.7,1.95,Aromatic,White,Slightly Glossy,Translucent,Slightly Hard,Bland,,White,Slightly Glossy,Cohesive,Slightly Tender,Smooth,Bland,5.3,8.8,117,102,65.7,Susceptible,Intermediate,Intermediate,Intermediate,Intermediate,Susceptible
PSB Rc34 (BURDAGOL),54.7,6.7,Intermediate,17,74.3,7.6,1.9,,White,Glossy,Translucent,Hard,Pleasant,,White,Slightly Glossy,Cohesive,Tough,Slightly Smooth,Bland,5.5,8.4,122,104,69.1,Susceptible,Intermediate,Susceptible,Susceptible,Intermediate,Susceptible
PSB Rc52 (GANDARA),53.32,6.5,Intermediate,18.9,73.3,9.4,2.84,,White,Glossy,Translucent,Slightly Hard,Pleasant,Slightly Off-odor,Creamy White,Slightly Glossy,Slightly Cohesive,Tender,Smooth,Slightly Tasty,4.4,8,111,99,64.9,Intermediate,Susceptible,Susceptible,Intermediate,Resistant,Intermediate
PSB Rc54 (ABRA),47.12,7.2,Intermediate,24.9,72.7,7.2,1.94,,White,Dull,Slightly Chalky,Hard,Pleasant,,Creamy White,Slightly Glossy,Separated,Slightly Tender,Smooth,Bland,6.3,8.3,113,108,70.6,Resistant,Resistant,Susceptible,Intermediate,Resistant,Susceptible
PSB Rc56 (DAPITAN),46.82,7.5,Slender,23.3,73.8,9.4,2.96,,White,Slightly Glossy,Translucent,Slightly Hard,Pleasant,Slightly Off-odor,White,Glossy,Slightly Cohesive,Tender,Smooth,Tasty,4.8,6.9,109,111,64.5,Intermediate,Resistant,Intermediate,Susceptible,Intermediate,Intermediate
PSB Rc58 (MAYAPA),46.83,6.6,Slender,24.8,68.4,6.1,2.49,,White,Slightly Glossy,Slightly Chalky,Slightly Hard,Pleasant,,White,Slightly Glossy,Separated,Tender,Slightly Smooth,Tasty,6.1,10.1,109,107,68.1,Intermediate,Susceptible,Intermediate,Intermediate,Intermediate,Susceptible
PSB Rc64 (KABACAN),48.04,6.4,Slender,22.1,73.5,10,2.33,,White,Dull,Translucent,Slightly Hard,Bland,,White,Slightly Glossy,Cohesive,Slightly Tender,Slightly Smooth,Tasty,6.2,8.2,115,113,70.9,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Susceptible
PSB Rc66 (AGUSAN),50.25,7,Medium,20.9,68.5,9.9,2.98,Slightly Aromatic,White,Glossy,Translucent,Hard,Bland,Slightly Off-odor,White,Dull,Separated,Slightly Tender,Smooth,Tasty,6.3,9.7,117,95,64.8,Resistant,Intermediate,Susceptible,Susceptible,Resistant,Susceptible
PSB Rc74 (AKLAN),49.32,7.2,Slender,19.7,68.9,9.9,1.77,,White,Slightly Glossy,Translucent,Hard,Bland,,White,Slightly Glossy,Separated,Slightly Tender,Smooth,Tasty,6.3,9.2,113,109,68,Intermediate,Intermediate,Intermediate,Susceptible,Intermediate,Susceptible
PSB Rc78 (PAMPANGA),47.91,6.6,Slender,20.2,73.1,6.2,1.51,,White,Glossy,Slightly Chalky,Slightly Hard,Pleasant,,White,Dull,Cohesive,Tough,Smooth,Slightly Tasty,4.1,7.6,105,111,66.2,Intermediate,Susceptible,Susceptible,Intermediate,Resistant,Intermediate
PSB Rc80 (PASIG),51.12,7.1,Slender,22.5,69.8,9.7,1.47,,White,Slightly Glossy,Translucent,Hard,Pleasant,,White,Dull,Cohesive,Slightly Tender,Slightly Smooth,Bland,6.5,9.8,117,95,68.7,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Susceptible
PSB Rc82 (PEÑARANDA),46.39,6.9,Slender,21,71.8,8.6,2.83,,White,Glossy,Slightly Chalky,Slightly Hard,Pleasant,,White,Slightly Glossy,Slightly Cohesive,Tender,Slightly Smooth,Tasty,6.1,8.2,121,106,68.7,Intermediate,Intermediate,Intermediate,Intermediate,Resistant,Susceptible
IR69726-29-1-2-2-2 (MATATAG2),47.92,6.4,Slender,18.1,68.1,7.9,2.57,,White,Glossy,Translucent,Hard,Bland,,White,Slightly Glossy,Separated,Slightly Tender,Smooth,Tasty,4.6,9.1,115,100,67.8,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible,Susceptible
IR73885-1-4-3-2-1-6 (MATATAG 9),48.66,6.5,Intermediate,23.2,68.5,7.3,2.55,,White,Glossy,Translucent,Hard,Bland,,White,Glossy,Slightly Cohesive,Tender,Smooth,Tasty,4.9,7.7,119,107,70.9,Susceptible,Intermediate,Susceptible,Intermediate,Resistant,Susceptible
NSIC RC 110 (TUBIGAN 1),49.56,6.5,Medium,17,69,9.7,2.64,Slightly Aromatic,White,Dull,Translucent,Hard,Bland,,White,Slightly Glossy,Separated,Slightly Tender,Smooth,Tasty,5.9,8.3,107,114,67.6,Susceptible,Intermediate,Susceptible,Intermediate,Resistant,Susceptible
NSIC RC 112 (TUBIGAN 2),52.85,7.5,Intermediate,22.5,70.4,6.3,2.61,,White,Slightly Glossy,Translucent,Slightly Hard,Pleasant,,White,Glossy,Slightly Cohesive,Tough,Slightly Smooth,Tasty,5.6,7.7,118,98,70,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible
NSIC RC 118 (MATATAG 3),47,6.9,Slender,20.9,72,9.4,1.52,,White,Glossy,Translucent,Hard,Bland,,White,Dull,Cohesive,Tender,Smooth,Tasty,6.2,9.5,122,109,64.2,Intermediate,Susceptible,Intermediate,Intermediate,Susceptible,Intermediate
NSIC RC 120 (MATATAG 6),50.14,7,Medium,18.7,69.5,7.1,2.08,,White,Dull,Translucent,Slightly Hard,Pleasant,,White,Dull,Cohesive,Slightly Tender,Smooth,Bland,4.5,8.8,119,107,70.8,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 122 (ANGELICA),50.92,7.2,Intermediate,22.4,74.5,8.1,2.02,,White,Dull,Translucent,Hard,Bland,,White,Dull,Separated,Tender,Slightly Smooth,Tasty,5.6,8.2,106,101,68,Susceptible,Intermediate,Susceptible,Intermediate,Susceptible,Intermediate
NSIC RC 128 (MABANGO 1),55.46,7,Slender,17.2,69.8,8.1,2.17,,White,Glossy,Translucent,Hard,Bland,,White,Dull,Separated,Slightly Tender,Smooth,Bland,5.7,8.2,124,95,68.3,Resistant,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible
NSIC RC 130 (TUBIGAN 3),51.08,7.4,Intermediate,24.1,72.9,9.5,2.33,,White,Slightly Glossy,Translucent,Hard,Bland,,White,Glossy,Cohesive,Slightly Tender,Smooth,Slightly Tasty,5.6,9.6,114,99,69.5,Intermediate,Intermediate,Susceptible,Susceptible,Resistant,Intermediate
NSIC RC 134 (TUBIGAN 4),46.71,7.3,Intermediate,21.5,73.3,6.1,1.47,,White,Glossy,Translucent,Slightly Hard,Pleasant,,Creamy White,Slightly Glossy,Cohesive,Tender,Smooth,Tasty,5.5,9,114,104,65.6,Intermediate,Intermediate,Susceptible,Susceptible,Intermediate,Intermediate
NSIC RC 138 (TUBIGAN 5),45.65,6.8,Slender,20.2,75,9.6,2.9,,White,Glossy,Slightly Chalky,Hard,Bland,,White,Glossy,Separated,Tender,Slightly Smooth,Bland,4.7,8.5,113,113,66.4,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 140 (TUBIGAN 6),54.49,6.7,Slender,20.6,73.5,6.4,2.35,Aromatic,White,Glossy,Slightly Chalky,Hard,Bland,,White,Slightly Glossy,Separated,Slightly Tender,Slightly Smooth,Bland,5.3,8.4,122,109,70.2,Resistant,Intermediate,Susceptible,Susceptible,Resistant,Intermediate
NSIC RC 142 (TUBIGAN 7),54.66,7.4,Intermediate,19.3,70.5,9.5,2.01,,White,Glossy,Slightly Chalky,Hard,Bland,,White,Glossy,Cohesive,Slightly Tender,Smooth,Tasty,5.3,7.7,108,110,70.4,Resistant,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate
NSIC RC 144 (TUBIGAN 8),53.08,6.7,Intermediate,20.8,70.3,9.6,2.99,,White,Dull,Translucent,Hard,Pleasant,,White,Glossy,Cohesive,Tender,Slightly Smooth,Bland,5.4,7.8,109,102,68.5,Resistant,Intermediate,Susceptible,Intermediate,Resistant,Intermediate
NSIC RC 146 (PJ7),48.05,7.3,Slender,25.4,73.2,9.1,1.87,,White,Glossy,Translucent,Hard,Bland,,White,Dull,Separated,Slightly Tender,Smooth,Tasty,6.1,8.5,122,111,69.6,Intermediate,Susceptible,Intermediate,Susceptible,Resistant,Intermediate
NSIC RC 148 (Mabango 2),55.98,7.3,Slender,23.4,70.3,6.1,1.79,Slightly Aromatic,White,Slightly Glossy,Translucent,Slightly Hard,Pleasant,,White,Glossy,Separated,Tender,Smooth,Slightly Tasty,5.6,10,124,107,65.3,Intermediate,Intermediate,Susceptible,Susceptible,Resistant,Susceptible
NSIC RC 150 (Tubigan 9),51.84,6.9,Slender,21.4,70.7,7.4,2.97,Slightly Aromatic,White,Glossy,Slightly Chalky,Hard,Bland,,Creamy White,Dull,Separated,Slightly Tender,Smooth,Tasty,4.9,8.4,110,100,67.3,Susceptible,Resistant,Susceptible,Susceptible,Intermediate,Intermediate
NSIC RC 152 (Tubigan 10),49.4,7.4,Slender,20.9,72.9,8.5,2.06,Slightly Aromatic,White,Dull,Translucent,Hard,Bland,,White,Dull,Cohesive,Tender,Smooth,Slightly Tasty,4.3,7.5,111,114,70.3,Susceptible,Intermediate,Susceptible,Susceptible,Intermediate,Intermediate
NSIC RC 154 (Tubigan 11),46.22,6.4,Intermediate,17.6,70.8,6.5,2.39,,White,Dull,Slightly Chalky,Slightly Hard,Pleasant,,White,Dull,Cohesive,Tender,Smooth,Bland,6.5,9,121,104,69.2,Susceptible,Intermediate,Intermediate,Susceptible,Susceptible,Intermediate
NSIC RC 156 (Tubigan 12),49.95,6.4,Slender,22.3,68.8,9.3,1.42,,White,Glossy,Translucent,Hard,Bland,,Creamy White,Glossy,Cohesive,Slightly Tender,Slightly Smooth,Slightly Tasty,5.2,7.9,121,109,66.2,Resistant,Susceptible,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 158 (Tubigan 13),45.34,7.1,Intermediate,23.1,72,6,2.32,,White,Glossy,Translucent,Hard,Pleasant,,White,Glossy,Separated,Slightly Tender,Slightly Smooth,Tasty,6.3,9.9,115,112,67.7,Intermediate,Intermediate,Intermediate,Susceptible,Intermediate,Intermediate
NSIC RC 160 (Tubigan 14),64.09,7.4,Slender,18.8,69.3,8.8,1.59,Slightly Aromatic,White,Slightly Glossy,Translucent,Slightly Hard,Bland,Slightly Off-odor,White,Dull,Separated,Tender,Slightly Smooth,Tasty,5.6,8.2,122,107,66.6,Intermediate,Susceptible,Susceptible,Intermediate,Intermediate,Susceptible
NSIC RC 170 (MS 11),47.59,6.5,Slender,22.8,71.3,8.3,1.97,Slightly Aromatic,White,Slightly Glossy,Translucent,Slightly Hard,Bland,,White,Slightly Glossy,Slightly Cohesive,Tender,Slightly Smooth,Slightly Tasty,5.2,8.8,108,110,64.4,Resistant,Intermediate,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 172 (MS 13),51.63,6.6,Slender,23.2,74.6,6.9,1.88,,White,Slightly Glossy,Translucent,Slightly Hard,Pleasant,,White,Glossy,Separated,Slightly Tender,Smooth,Slightly Tasty,5.4,7.8,107,98,64.2,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible,Susceptible
NSIC RC 194 (Submarino 1),48.12,7.1,Medium,18.3,71.1,8.5,1.66,,White,Glossy,Translucent,Hard,Pleasant,,White,Glossy,Slightly Cohesive,Tender,Smooth,Bland,5.4,8.7,108,111,67.8,Resistant,Susceptible,Susceptible,Intermediate,Resistant,Intermediate
NSIC RC 212 (Tubigan 15),50.2,6.5,Slender,22.2,72.4,9.4,1.96,,White,Dull,Slightly Chalky,Slightly Hard,Pleasant,,White,Glossy,Separated,Slightly Tender,Slightly Smooth,Tasty,6.1,10.4,116,106,70.7,Intermediate,Susceptible,Susceptible,Intermediate,Susceptible,Susceptible
NSIC RC 214 (Tubigan 16),50.47,7.1,Slender,24.3,70,8.8,2.89,,White,Dull,Translucent,Hard,Bland,,Creamy White,Dull,Slightly Cohesive,Tender,Slightly Smooth,Tasty,4.5,8.2,119,111,69,Resistant,Susceptible,Intermediate,Susceptible,Intermediate,Susceptible
NSIC RC 216 (Tubigan 17),51.85,6.9,Slender,17.1,72.3,8.6,2.64,,White,Glossy,Translucent,Slightly Hard,Bland,,White,Slightly Glossy,Slightly Cohesive,Tender,Slightly Smooth,Tasty,5.2,9.5,113,114,68.5,Intermediate,Resistant,Susceptible,Susceptible,Resistant,Intermediate
NSIC RC 218 SR (Mabango 3),64.7,7.1,Slender,17.5,72.8,8.7,2.85,Aromatic,White,Dull,Translucent,Hard,Pleasant,,White,Slightly Glossy,Slightly Cohesive,Tender,Smooth,Tasty,3.8,8,120,104,65.4,Resistant,Intermediate,Susceptible,Susceptible,Susceptible,Susceptible
NSIC RC 220 SR (Japonica 1),52.75,6.9,Intermediate,25.1,73.7,7.9,1.52,Aromatic,White,Dull,Translucent,Hard,Bland,,Creamy White,Dull,Slightly Cohesive,Slightly Tender,Smooth,Bland,4.5,7.4,121,110,68.7,Resistant,Susceptible,Susceptible,Intermediate,Susceptible,Susceptible
NSIC RC 222 (Tubigan 18),59.39,7.1,Slender,22.2,70.2,7.6,2,,White,Dull,Chalky,Slightly Hard,Pleasant,,White,Dull,Separated,Tender,Smooth,Slightly Tasty,6.1,10,114,101,69.3,Intermediate,Intermediate,Intermediate,Susceptible,Resistant,Intermediate
NSIC RC 224 (TUBIGAN 19),53.95,6.6,Intermediate,20.8,70,6.4,1.94,Slightly Aromatic,White,Slightly Glossy,Slightly Chalky,Slightly Hard,Bland,Slightly Off-odor,White,Slightly Glossy,Slightly Cohesive,Slightly Tender,Slightly Smooth,Tasty,4.5,8.9,112,114,67.6,Intermediate,Susceptible,Intermediate,Intermediate,Intermediate,Susceptible
NSIC RC 226 (TUBIGAN 20),50.98,7,Slender,20.7,70.1,6.1,1.61,,White,Slightly Glossy,Translucent,Slightly Hard,Bland,,Creamy White,Slightly Glossy,Cohesive,Tough,Slightly Smooth,Tasty,4.6,8.5,121,106,67.4,Resistant,Susceptible,Susceptible,Intermediate,Resistant,Susceptible
NSIC RC 238 (Tubigan 21),54.22,6.4,Intermediate,22.3,71.1,7.8,2.79,Slightly Aromatic,White,Glossy,Slightly Chalky,Hard,Pleasant,,White,Glossy,Cohesive,Tender,Smooth,Slightly Tasty,5.6,8.1,107,95,68.2,Resistant,Susceptible,Susceptible,Intermediate,Resistant,Intermediate
NSIC RC 240 (Tubigan 22),45.88,6.9,Intermediate,20.1,72.1,8.5,1.46,,White,Dull,Translucent,Hard,Pleasant,,White,Dull,Slightly Cohesive,Tender,Slightly Smooth,Tasty,5.3,9.1,114,99,70.2,Intermediate,Susceptible,Susceptible,Intermediate,Intermediate,Susceptible
NSIC RC 242 SR (Japonica 2),46.96,6.5,Intermediate,20.4,74.2,7.3,1.72,Aromatic,White,Glossy,Slightly Chalky,Hard,Pleasant,,White,Slightly Glossy,Cohesive,Slightly Tender,Smooth,Slightly Tasty,4.9,7.1,108,98,70,Intermediate,Resistant,Susceptible,Susceptible,Resistant,Intermediate
NSIC RC 298 (Tubigan 23),45.45,6.4,Slender,19.6,75,8.2,2.19,,White,Glossy,Slightly Chalky,Slightly Hard,Bland,,White,Dull,Cohesive,Tender,Slightly Smooth,Bland,6.1,9.2,109,100,65,Intermediate,Resistant,Susceptible,Susceptible,Intermediate,Intermediate
NSIC RC 300 (Tubigan 24),48.25,6.5,Medium,22,70.6,8.8,2.93,Slightly Aromatic,White,Glossy,Translucent,Hard,Pleasant,,White,Dull,Separated,Tender,Smooth,Slightly Tasty,5.7,9.3,123,96,68.6,Intermediate,Susceptible,Intermediate,Susceptible,Intermediate,Intermediate
NSIC RC 302 (Tubigan 25),48.89,6.8,Slender,18.6,68.7,6.2,1.43,,White,Glossy,Slightly Chalky,Hard,Pleasant,,Creamy White,Glossy,Separated,Tough,Slightly Smooth,Tasty,5.4,7.8,121,113,65.8,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Intermediate
NSIC RC 304 (Japonica 3),47.71,7.4,Slender,25.2,73.8,8.6,2.62,,White,Glossy,Slightly Chalky,Hard,Pleasant,,White,Slightly Glossy,Slightly Cohesive,Tender,Smooth,Tasty,4.4,6.7,117,113,69.3,Intermediate,Resistant,Intermediate,Susceptible,Intermediate,Susceptible
NSIC RC 308 (Tubigan 26),53.29,7.4,Intermediate,24.5,71.7,9.4,1.86,,White,Dull,Slightly Chalky,Slightly Hard,Pleasant,,White,Slightly Glossy,Slightly Cohesive,Tender,Smooth,Tasty,4.4,8.7,123,111,67.7,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate
NSIC RC 342 SR (Mabango 4),58.57,6.9,Slender,18,73.1,9.1,2.3,,White,Slightly Glossy,Chalky,Slightly Hard,Bland,,White,Dull,Separated,Tender,Slightly Smooth,Bland,5.3,7.9,109,113,69.1,Intermediate,Resistant,Intermediate,Susceptible,Intermediate,Susceptible
NSIC RC 352 (TUBIGAN 27),47.81,6.9,Intermediate,22.9,72.4,6.3,1.53,,White,Glossy,Translucent,Slightly Hard,Bland,,White,Glossy,Cohesive,Slightly Tender,Slightly Smooth,Slightly Tasty,6.2,8.5,110,103,65.2,Intermediate,Intermediate,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 354 (TUBIGAN 28),50.43,7.1,Slender,24.7,72.6,7.5,2.41,,White,Dull,Slightly Chalky,Slightly Hard,Pleasant,,White,Slightly Glossy,Slightly Cohesive,Tender,Smooth,Bland,5.4,7.6,109,97,69.9,Intermediate,Intermediate,Intermediate,Intermediate,Resistant,Intermediate
NSIC RC 356 (TUBIGAN 29),46.41,6.7,Intermediate,22.1,74.3,8,1.96,,White,Glossy,Translucent,Slightly Hard,Pleasant,,White,Slightly Glossy,Cohesive,Slightly Tender,Smooth,Slightly Tasty,6.4,10.6,118,112,69.8,Susceptible,Susceptible,Susceptible,Susceptible,Resistant,Susceptible
NSIC RC 358 (TUBIGAN 30),53.02,6.4,Slender,21.2,71.7,7.6,2.29,,White,Glossy,Translucent,Hard,Bland,,White,Glossy,Cohesive,Tender,Smooth,Tasty,5.9,8.6,120,100,69.1,Susceptible,Susceptible,Susceptible,Intermediate,Resistant,Susceptible
NSIC RC 360 (TUBIGAN 31),45.75,6.4,Slender,23.7,69.4,6.7,2.69,Slightly Aromatic,White,Glossy,Translucent,Slightly Hard,Bland,,White,Dull,Cohesive,Slightly Tender,Slightly Smooth,Tasty,4,6.8,122,98,65.1,Susceptible,Resistant,Susceptible,Susceptible,Resistant,Susceptible
NSIC RC 394 (TUBIGAN 32),54.87,7.1,Medium,18.5,68.9,9.6,2.93,Slightly Aromatic,White,Glossy,Translucent,Slightly Hard,Bland,,Creamy White,Glossy,Cohesive,Tender,Smooth,Tasty,6.4,9.4,107,109,69.4,Susceptible,Resistant,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 396 (Tubigan 33),52.72,7.3,Medium,19.9,74.8,9.7,2.4,Slightly Aromatic,White,Slightly Glossy,Translucent,Hard,Pleasant,,White,Dull,Slightly Cohesive,Slightly Tender,Slightly Smooth,Slightly Tasty,6.2,9.1,123,104,70.8,Resistant,Intermediate,Intermediate,Susceptible,Intermediate,Intermediate
NSIC RC 398 (Tubigan 34),46.99,7.1,Slender,19.2,69.6,6.4,1.51,,White,Glossy,Translucent,Slightly Hard,Bland,,White,Dull,Cohesive,Tough,Slightly Smooth,Tasty,5.4,7.8,106,108,70.2,Intermediate,Intermediate,Intermediate,Susceptible,Intermediate,Susceptible
NSIC RC 400 (Tubigan 35),45.06,7.1,Medium,19,69.6,6.9,2.07,Aromatic,White,Slightly Glossy,Translucent,Slightly Hard,Bland,,White,Slightly Glossy,Cohesive,Tender,Smooth,Bland,5.2,8.7,116,106,65.7,Intermediate,Intermediate,Susceptible,Susceptible,Resistant,Intermediate
NSIC RC 402 (Tubigan 36),53.15,6.8,Slender,23.5,72.6,6,1.83,,White,Glossy,Translucent,Hard,Bland,,White,Dull,Cohesive,Tender,Slightly Smooth,Slightly Tasty,4.6,8.5,106,113,69.6,Intermediate,Intermediate,Intermediate,Intermediate,Resistant,Intermediate
NSIC RC 414 SR (Japonica 4),52.07,7.1,Medium,25,71.3,8.1,2.65,,White,Glossy,Translucent,Hard,Bland,,White,Glossy,Cohesive,Slightly Tender,Slightly Smooth,Bland,6.4,8.7,108,98,70.9,Resistant,Susceptible,Intermediate,Susceptible,Intermediate,Susceptible
NSIC RC 436 (TUBIGAN 37),52.29,6.6,Slender,21.1,73,9.2,2.69,,White,Slightly Glossy,Translucent,Hard,Bland,,White,Slightly Glossy,Cohesive,Tender,Smooth,Bland,4.9,7,116,96,68.8,Intermediate,Susceptible,Intermediate,Intermediate,Susceptible,Intermediate
NSIC RC 438 (TUBIGAN 38),52.71,7.1,Slender,17.3,73,7.6,2.36,Slightly Aromatic,White,Glossy,Translucent,Hard,Bland,,White,Slightly Glossy,Cohesive,Slightly Tender,Slightly Smooth,Slightly Tasty,4.3,8.6,119,108,65.2,Intermediate,Susceptible,Susceptible,Susceptible,Resistant,Susceptible
NSIC RC 440 (TUBIGAN 39),45.74,6.9,Intermediate,22,71.5,7.2,2.13,,White,Glossy,Slightly Chalky,Slightly Hard,Bland,Slightly Off-odor,White,Slightly Glossy,Cohesive,Slightly Tender,Slightly Smooth,Bland,6,10,115,103,69,Intermediate,Susceptible,Susceptible,Intermediate,Intermediate,Intermediate
NSIC RC 442 (TUBIGAN 40),48.58,7.2,Slender,19.9,68.9,7.7,1.65,,White,Slightly Glossy,Translucent,Hard,Bland,,White,Slightly Glossy,Cohesive,Tough,Slightly Smooth,Tasty,5.8,8.8,120,101,66.3,Susceptible,Resistant,Intermediate,Susceptible,Intermediate,Intermediate
NSIC RC 482 SR (Japonica 5),46.16,6.4,Intermediate,21.3,74.2,7.8,1.95,,White,Glossy,Chalky,Slightly Hard,Bland,,White,Dull,Slightly Cohesive,Tender,Slightly Smooth,Bland,4,7,124,104,67.3,Intermediate,Susceptible,Susceptible,Susceptible,Resistant,Susceptible
NSIC RC 484 SR (Japonica 6),53.63,7.2,Slender,17.2,69.5,9.8,2.2,,White,Dull,Slightly Chalky,Hard,Pleasant,,White,Slightly Glossy,Slightly Cohesive,Tough,Slightly Smooth,Bland,5,9.3,106,103,69.8,Intermediate,Susceptible,Intermediate,Intermediate,Intermediate,Susceptible
NSIC RC 506 (TUBIGAN 41),51.23,7.1,Slender,19.6,71,6.1,2.31,Slightly Aromatic,White,Glossy,Translucent,Hard,Pleasant,,Creamy White,Slightly Glossy,Slightly Cohesive,Slightly Tender,Smooth,Bland,4,7.4,109,104,70.6,Intermediate,Intermediate,Susceptible,Intermediate,Intermediate,Susceptible
NSIC RC 508 (TUBIGAN 42),48.31,7.1,Intermediate,24.3,74.4,7,1.46,,White,Glossy,Translucent,Slightly Hard,Bland,,White,Slightly Glossy,Slightly Cohesive,Tender,Slightly Smooth,Tasty,5.4,9.9,123,103,64,Intermediate,Susceptible,Intermediate,Susceptible,Resistant,Susceptible
