Seed Variety,Average Price per Kilo (PHP),Grain Length (mm),Grain Shape,Amylose content (percent),Gelatinization temperature (C),Crude protein,Instron cooked rice hardness,Raw Aroma,Raw Color,Raw Gloss,Raw Translucency,Raw Hardness,Cooked Aroma (freshly cooked),Cooked Aroma (staled),Cooked Color,Cooked Gloss,Cooked Cohesiveness,Cooked Tenderness,Cooked Smoothness,Cooked Taste,Average yield (t/ha),Maximum yield (t/ha),Maturity (days),Height (cm),Milling Recovery (percent),Reaction to Blast,Reaction to Bacterial Leaf Blight (BLB),Reaction to Tungro,Reaction to Brown Planthopper (BPH),Reaction to Green Leafhopper (GLH),Reaction to Stem Borer
NSIC RC 166H (Mestiso 10),442.54,7.4,Intermediate,21.7,71.3,8.4,2.6,,White,Glossy,Translucent,Hard,Bland,Slightly Off-odor,White,Slightly Glossy,Slightly Cohesive,Slightly Tender,Smooth,Slightly Tasty,6.4,9.2,113,104,70.3,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible
NSIC RC 168H (Mestiso 11),450.79,7.2,Slender,18.6,71.7,8,1.82,,White,Glossy,Translucent,Slightly Hard,Bland,,Creamy White,Slightly Glossy,Cohesive,Slightly Tender,Smooth,Bland,7.1,10.8,108,103,66.9,Resistant,Intermediate,Susceptible,Susceptible,Intermediate,Intermediate
NSIC RC 174H (Mestiso 12),443.14,6.6,Intermediate,20.4,70.5,6.8,2.09,,White,Dull,Slightly Chalky,Hard,Pleasant,,White,Slightly Glossy,Slightly Cohesive,Slightly Tender,Smooth,Slightly Tasty,6.4,9,106,113,68.6,Intermediate,Susceptible,Susceptible,Intermediate,Intermediate,Susceptible
NSIC RC 176H (Mestiso 13),503.64,6.6,Slender,19.7,69.5,6.7,1.67,,White,Dull,Translucent,Hard,Bland,,White,Slightly Glossy,Slightly Cohesive,Tender,Smooth,Tasty,5.7,9.5,112,102,70.5,Susceptible,Resistant,Intermediate,Susceptible,Resistant,Susceptible
NSIC RC 178H (Mestiso 14),471.44,6.6,Intermediate,19.6,70.1,8.3,2.74,Slightly Aromatic,White,Dull,Slightly Chalky,Hard,Bland,Slightly Off-odor,White,Glossy,Slightly Cohesive,Tender,Slightly Smooth,Slightly Tasty,6.9,10,114,102,66.2,Intermediate,Intermediate,Susceptible,Susceptible,Intermediate,Intermediate
NSIC RC 180H (Mestiso 15),490.86,6.7,Intermediate,24.3,72.5,6.7,2.29,,White,Dull,Translucent,Hard,Pleasant,Slightly Off-odor,White,Glossy,Separated,Slightly Tender,Slightly Smooth,Bland,5.9,9,121,113,66.5,Intermediate,Intermediate,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 196H (Mestiso 16),530.76,6.9,Slender,20.6,68.1,8.6,1.8,Slightly Aromatic,White,Glossy,Translucent,Hard,Bland,,White,Slightly Glossy,Slightly Cohesive,Tender,Slightly Smooth,Tasty,6.1,8.9,123,108,67.5,Intermediate,Intermediate,Susceptible,Intermediate,Susceptible,Susceptible
NSIC RC 198H (Mestiso 17),464.93,6.8,Slender,23.8,68.7,8.3,2.37,Slightly Aromatic,White,Glossy,Translucent,Slightly Hard,Pleasant,,White,Slightly Glossy,Slightly Cohesive,Slightly Tender,Slightly Smooth,Slightly Tasty,6.4,9.1,119,112,65.5,Resistant,Intermediate,Intermediate,Susceptible,Resistant,Intermediate
NSIC RC 200H (Mestiso 18),481.04,6.7,Slender,22.1,68.3,6.7,2.3,,White,Slightly Glossy,Slightly Chalky,Hard,Bland,,White,Slightly Glossy,Separated,Slightly Tender,Slightly Smooth,Bland,7.3,10.8,111,107,65.1,Intermediate,Susceptible,Intermediate,Susceptible,Resistant,Susceptible
NSIC RC 202H (Mestiso 19),515.56,7,Slender,23.2,68.2,6.7,1.97,,White,Slightly Glossy,Chalky,Hard,Bland,Slightly Off-odor,White,Glossy,Separated,Tender,Slightly Smooth,Tasty,7.1,9.5,112,102,65,Intermediate,Resistant,Intermediate,Susceptible,Intermediate,Intermediate
NSIC RC 204H (Mestiso 20),462.88,6.5,Intermediate,21.3,73.1,9,1.65,,White,Dull,Translucent,Hard,Pleasant,,White,Glossy,Separated,Tender,Slightly Smooth,Bland,5.6,9.8,123,105,66.6,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Intermediate
NSIC RC 206H (Mestiso 21),447.7,6.7,Intermediate,21.7,72.2,7.4,2.37,,White,Glossy,Translucent,Slightly Hard,Bland,Slightly Off-odor,Creamy White,Slightly Glossy,Cohesive,Tender,Smooth,Tasty,7.4,10,117,104,66.4,Intermediate,Resistant,Susceptible,Susceptible,Resistant,Susceptible
NSIC RC 208H (Mestiso 22),468.98,6.8,Slender,21.2,70.8,7.4,2.18,Slightly Aromatic,White,Glossy,Chalky,Hard,Pleasant,,Creamy White,Glossy,Separated,Tender,Slightly Smooth,Slightly Tasty,7.4,11,121,99,67.4,Intermediate,Intermediate,Susceptible,Intermediate,Intermediate,Susceptible
NSIC RC 210H (Mestiso 23),456.12,6.9,Slender,19.3,68.6,8.5,2.5,,White,Glossy,Translucent,Slightly Hard,Bland,,Creamy White,Slightly Glossy,Separated,Tender,Slightly Smooth,Bland,7,10.4,115,107,66.1,Intermediate,Intermediate,Susceptible,Susceptible,Intermediate,Intermediate
NSIC RC 228H (MESTISO 24),532.97,7.2,Slender,22.7,70.9,8.9,2.18,,White,Slightly Glossy,Translucent,Hard,Bland,,White,Slightly Glossy,Slightly Cohesive,Tender,Smooth,Tasty,6.2,9.7,106,97,65.3,Intermediate,Susceptible,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 230H (MESTISO 25),520.81,6.6,Slender,19.8,70.8,9,2.61,,White,Slightly Glossy,Chalky,Hard,Pleasant,,White,Glossy,Separated,Tender,Slightly Smooth,Bland,6.7,10.7,118,105,70.5,Intermediate,Susceptible,Susceptible,Intermediate,Intermediate,Intermediate
NSIC RC 232H (MESTISO 26),503.34,6.9,Slender,18.2,69,8.4,2.22,,White,Glossy,Translucent,Slightly Hard,Pleasant,,White,Glossy,Cohesive,Slightly Tender,Slightly Smooth,Bland,7.4,11.4,122,97,67.3,Resistant,Intermediate,Intermediate,Intermediate,Resistant,Susceptible
NSIC RC 234H (MESTISO 27),527.15,7,Slender,22.2,70.6,7.4,2.23,Slightly Aromatic,White,Glossy,Translucent,Hard,Pleasant,,White,Glossy,Separated,Slightly Tender,Smooth,Slightly Tasty,6.9,10.3,113,111,69.4,Resistant,Intermediate,Intermediate,Susceptible,Intermediate,Susceptible
NSIC RC 236H (MESTISO 28),520.37,6.4,Intermediate,19.2,70.4,6.7,2.64,,White,Glossy,Translucent,Slightly Hard,Bland,,White,Glossy,Cohesive,Slightly Tender,Slightly Smooth,Bland,5.8,8.7,108,96,65.2,Intermediate,Resistant,Susceptible,Susceptible,Intermediate,Intermediate
NSIC RC 244 (Mestiso 29),458.66,7,Slender,24.1,71.7,8.4,2.02,,White,Slightly Glossy,Translucent,Slightly Hard,Pleasant,,White,Slightly Glossy,Separated,Slightly Tender,Slightly Smooth,Tasty,6.4,9.9,122,95,65.4,Intermediate,Susceptible,Intermediate,Susceptible,Intermediate,Intermediate
NSIC RC 246H (Mestiso 30),529.26,6.6,Slender,24.2,71.8,7.9,1.67,Aromatic,White,Glossy,Translucent,Hard,Bland,,White,Glossy,Separated,Slightly Tender,Slightly Smooth,Tasty,5.7,8.4,113,104,67,Resistant,Intermediate,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 248H (Mestiso 31),493.93,6.5,Intermediate,23.9,68.3,7.6,1.54,Slightly Aromatic,White,Glossy,Slightly Chalky,Slightly Hard,Bland,,White,Slightly Glossy,Separated,Tender,Smooth,Tasty,6.3,10,117,110,70.6,Intermediate,Resistant,Intermediate,Susceptible,Resistant,Susceptible
NSIC RC 250H (Mestiso 32),520.74,7.3,Slender,20.4,70.2,8.8,2.48,,White,Dull,Translucent,Hard,Pleasant,Slightly Off-odor,White,Glossy,Separated,Slightly Tender,Slightly Smooth,Tasty,6.3,8.6,108,107,68.6,Intermediate,Susceptible,Intermediate,Intermediate,Intermediate,Susceptible
NSIC RC 252H (Mestiso 33),529.61,7.4,Intermediate,18.1,71.8,6.8,2.31,,White,Dull,Translucent,Hard,Bland,Slightly Off-odor,White,Slightly Glossy,Cohesive,Slightly Tender,Slightly Smooth,Slightly Tasty,6.8,8.9,113,109,67.4,Susceptible,Susceptible,Intermediate,Intermediate,Intermediate,Intermediate
NSIC RC 254H (Mestiso 34),471.8,7.2,Intermediate,24,71,7.7,2.42,,White,Slightly Glossy,Translucent,Slightly Hard,Pleasant,Slightly Off-odor,White,Glossy,Cohesive,Slightly Tender,Smooth,Bland,5.9,8.1,122,101,69.6,Intermediate,Susceptible,Susceptible,Intermediate,Intermediate,Susceptible
NSIC RC 256H (Mestiso 35),451.01,6.7,Slender,20.8,73.1,6.5,1.78,,White,Glossy,Translucent,Slightly Hard,Bland,Slightly Off-odor,Creamy White,Slightly Glossy,Slightly Cohesive,Slightly Tender,Slightly Smooth,Slightly Tasty,7,10.4,105,110,69.9,Intermediate,Intermediate,Susceptible,Susceptible,Resistant,Susceptible
NSIC RC 258H (Mestiso 36),462.79,6.5,Slender,24.3,72,7.7,1.68,,White,Glossy,Chalky,Slightly Hard,Bland,,White,Glossy,Cohesive,Slightly Tender,Smooth,Bland,7.1,10.6,120,107,68.2,Susceptible,Intermediate,Susceptible,Susceptible,Intermediate,Intermediate
NSIC RC 260H (Mestiso 37),482.71,7.1,Slender,24.3,69,6.6,1.52,,White,Dull,Translucent,Slightly Hard,Pleasant,,White,Slightly Glossy,Separated,Slightly Tender,Smooth,Bland,6.8,9,123,96,65.6,Intermediate,Intermediate,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 262H (Mestiso 38),521.8,6.8,Slender,23.5,68.4,6.8,1.96,,White,Slightly Glossy,Translucent,Hard,Pleasant,,White,Glossy,Slightly Cohesive,Slightly Tender,Slightly Smooth,Bland,6.7,8.9,105,96,67.7,Intermediate,Intermediate,Susceptible,Intermediate,Intermediate,Intermediate
NSIC RC 264H (Mestiso 39),526.07,6.5,Slender,19.9,71.9,6.8,2.27,,White,Dull,Slightly Chalky,Hard,Pleasant,,White,Slightly Glossy,Slightly Cohesive,Tender,Smooth,Slightly Tasty,6,8.4,109,97,69.5,Intermediate,Susceptible,Susceptible,Susceptible,Resistant,Susceptible
NSIC RC 266H (Mestiso 40),440.7,6.9,Slender,20.5,68.2,8.1,2.01,Slightly Aromatic,White,Dull,Translucent,Slightly Hard,Pleasant,,White,Slightly Glossy,Slightly Cohesive,Tender,Smooth,Bland,6.2,10.6,124,96,65.7,Intermediate,Susceptible,Intermediate,Intermediate,Intermediate,Susceptible
NSIC RC 268H (Mestiso 41),491.07,6.4,Slender,23.5,71.5,8.4,2.07,,White,Dull,Translucent,Hard,Pleasant,Slightly Off-odor,White,Slightly Glossy,Separated,Slightly Tender,Slightly Smooth,Slightly Tasty,7.4,10,115,105,70.7,Intermediate,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible
NSIC RC 270H (Mestiso 42),481.74,7.3,Slender,20.1,73.6,8,2.68,,White,Dull,Translucent,Hard,Pleasant,,White,Slightly Glossy,Cohesive,Tender,Smooth,Tasty,6.2,9.3,120,114,66.9,Intermediate,Intermediate,Intermediate,Susceptible,Intermediate,Susceptible
NSIC RC 306H (Mestiso 43),462.21,6.7,Slender,19.1,71.5,8.9,1.95,,White,Glossy,Translucent,Hard,Pleasant,,White,Glossy,Separated,Tender,Smooth,Tasty,7,9.4,107,113,66.3,Intermediate,Intermediate,Susceptible,Intermediate,Intermediate,Susceptible
NSIC RC 310H (Mestiso 44),451.99,7.1,Intermediate,21.6,70.3,7.4,2.17,Aromatic,White,Glossy,Translucent,Hard,Bland,,White,Slightly Glossy,Slightly Cohesive,Tender,Slightly Smooth,Bland,7.1,10.4,107,113,70.9,Intermediate,Intermediate,Susceptible,Intermediate,Intermediate,Susceptible
NSIC RC 312H (Mestiso 45),473.76,6.7,Slender,24.1,71.9,7.2,2.52,,White,Dull,Translucent,Slightly Hard,Bland,,White,Glossy,Separated,Tender,Slightly Smooth,Slightly Tasty,7.2,9.5,121,104,68.1,Intermediate,Susceptible,Susceptible,Susceptible,Susceptible,Intermediate
NSIC RC 314H (Mestiso 46),534.29,6.9,Slender,22.5,70.7,8.7,2.02,,White,Slightly Glossy,Slightly Chalky,Slightly Hard,Bland,,Creamy White,Slightly Glossy,Separated,Slightly Tender,Slightly Smooth,Tasty,6.7,10.9,116,99,69.9,Intermediate,Intermediate,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 316H (Mestiso 47),472.32,6.9,Slender,21.7,71.3,7.1,2.31,Aromatic,White,Slightly Glossy,Translucent,Hard,Pleasant,,White,Slightly Glossy,Cohesive,Tender,Smooth,Slightly Tasty,6.2,9.9,108,104,64.2,Resistant,Intermediate,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 318H (Mestiso 48),491.88,6.6,Intermediate,18.6,73.6,8.9,2.62,Slightly Aromatic,White,Slightly Glossy,Translucent,Slightly Hard,Pleasant,Slightly Off-odor,White,Glossy,Cohesive,Tender,Slightly Smooth,Slightly Tasty,6.6,8.7,115,113,65.5,Intermediate,Susceptible,Intermediate,Susceptible,Intermediate,Intermediate
NSIC RC 320H (Mestiso 49),510.3,7.4,Slender,22,70.3,6.5,2.73,Slightly Aromatic,White,Slightly Glossy,Translucent,Slightly Hard,Bland,,Creamy White,Glossy,Slightly Cohesive,Tender,Smooth,Bland,5.7,8.4,120,105,65.5,Intermediate,Susceptible,Intermediate,Susceptible,Resistant,Susceptible
NSIC RC 322H (Mestiso 50),476.36,7.2,Slender,24.4,73.8,8.9,1.69,,White,Dull,Translucent,Slightly Hard,Pleasant,,White,Slightly Glossy,Separated,Slightly Tender,Smooth,Tasty,6.5,9.2,109,98,70.4,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,Intermediate
NSIC RC 350H (Mestiso 51),537.18,7.3,Intermediate,18.9,73.4,6.6,2.7,,White,Glossy,Slightly Chalky,Hard,Pleasant,Slightly Off-odor,White,Slightly Glossy,Separated,Slightly Tender,Smooth,Bland,7.3,10.8,117,96,64.2,Susceptible,Susceptible,Intermediate,Susceptible,Resistant,Intermediate
NSIC RC 362H (Mestiso 52),536.24,7.3,Slender,21.4,69.2,8.7,2.14,Slightly Aromatic,White,Slightly Glossy,Translucent,Hard,Bland,Slightly Off-odor,White,Glossy,Cohesive,Slightly Tender,Smooth,Bland,5.6,9,106,96,70.7,Intermediate,Intermediate,Susceptible,Intermediate,Intermediate,Intermediate
NSIC RC 364H (Mestiso 53),465.18,7,Intermediate,23.7,68.4,7.8,1.84,Aromatic,White,Dull,Translucent,Hard,Pleasant,Slightly Off-odor,White,Slightly Glossy,Separated,Slightly Tender,Smooth,Tasty,6.8,11,105,100,66.3,Intermediate,Intermediate,Susceptible,Susceptible,Intermediate,Intermediate
NSIC RC 366H (Mestiso 54),489.72,7.3,Slender,22.8,68.6,9,2.1,,White,Slightly Glossy,Slightly Chalky,Slightly Hard,Pleasant,Slightly Off-odor,Creamy White,Glossy,Separated,Slightly Tender,Smooth,Tasty,6.1,10.5,120,107,70.7,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible
NSIC RC 368H (Mestiso 55),470.09,7.3,Slender,18.9,68.1,6.7,2.77,,White,Slightly Glossy,Translucent,Hard,Bland,,White,Glossy,Separated,Slightly Tender,Smooth,Slightly Tasty,5.8,9.7,108,113,65,Intermediate,Susceptible,Susceptible,Susceptible,Susceptible,Intermediate
NSIC RC 370H (Mestiso 56),468.48,6.6,Slender,22.6,68.6,7.9,2.14,,White,Dull,Translucent,Hard,Pleasant,,Creamy White,Glossy,Cohesive,Slightly Tender,Slightly Smooth,Tasty,5.7,8.5,106,105,64.3,Intermediate,Intermediate,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 372H (Mestiso 57),443.69,6.4,Slender,20.3,72.1,8.9,1.93,Slightly Aromatic,White,Glossy,Translucent,Slightly Hard,Bland,,White,Slightly Glossy,Slightly Cohesive,Tender,Slightly Smooth,Slightly Tasty,6.7,10,121,111,66.4,Intermediate,Intermediate,Susceptible,Intermediate,Susceptible,Intermediate
NSIC RC 374H (Mestiso 58),500.96,6.7,Slender,19.9,68.4,7.8,2.32,,White,Glossy,Translucent,Hard,Pleasant,,White,Glossy,Slightly Cohesive,Tender,Smooth,Slightly Tasty,7.4,10.4,121,96,70.5,Intermediate,Intermediate,Intermediate,Susceptible,Susceptible,Susceptible
NSIC RC 376H (Mestiso 59),490.27,6.8,Intermediate,23.3,69.9,8.1,1.81,,White,Dull,Slightly Chalky,Hard,Pleasant,,White,Slightly Glossy,Separated,Tender,Smooth,Slightly Tasty,6.2,10.6,119,99,66.2,Intermediate,Susceptible,Intermediate,Susceptible,Resistant,Susceptible
NSIC RC 378H (Mestiso 60),445.15,6.7,Slender,23.3,73.1,8.2,1.6,,White,Glossy,Translucent,Slightly Hard,Pleasant,,White,Slightly Glossy,Slightly Cohesive,Slightly Tender,Slightly Smooth,Tasty,5.8,8.1,116,102,67.5,Intermediate,Susceptible,Intermediate,Susceptible,Intermediate,Intermediate
NSIC RC 380H (Mestiso 61),467.86,7.2,Slender,23.6,68.1,7.6,1.67,,White,Dull,Translucent,Slightly Hard,Bland,,White,Slightly Glossy,Cohesive,Slightly Tender,Smooth,Bland,6.8,9.2,107,110,70.2,Susceptible,Intermediate,Susceptible,Intermediate,Resistant,Susceptible
NSIC RC 382H (Mestiso 62),530.83,6.8,Slender,23.9,72.9,8.1,1.67,,White,Dull,Translucent,Slightly Hard,Pleasant,,Creamy White,Slightly Glossy,Cohesive,Slightly Tender,Slightly Smooth,Slightly Tasty,6.2,10.6,120,99,64.9,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Intermediate
NSIC RC 404H (Mestiso 66),463.96,6.7,Slender,21.3,69.7,8,1.7,,White,Dull,Slightly Chalky,Hard,Pleasant,,White,Glossy,Slightly Cohesive,Slightly Tender,Slightly Smooth,Bland,6.8,10.1,118,104,70.4,Resistant,Susceptible,Susceptible,Intermediate,Intermediate,Intermediate
NSIC RC 406H (Mestiso 67),454.49,6.9,Slender,21.3,68.7,8.8,1.68,Slightly Aromatic,White,Glossy,Translucent,Hard,Bland,,Creamy White,Glossy,Slightly Cohesive,Slightly Tender,Slightly Smooth,Bland,5.9,9.1,118,103,65.5,Susceptible,Susceptible,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 408H (Mestiso 68),488.95,6.5,Slender,23.2,72.2,6.6,2.33,,White,Dull,Slightly Chalky,Hard,Pleasant,,White,Glossy,Separated,Tender,Smooth,Tasty,7.3,10.9,124,95,69.9,Resistant,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate
NSIC RC 410H (Mestiso 69),538.57,7.2,Slender,22.2,71.8,7.2,1.74,,White,Slightly Glossy,Translucent,Slightly Hard,Bland,,Creamy White,Slightly Glossy,Slightly Cohesive,Tender,Smooth,Bland,5.7,7.8,105,99,64.5,Intermediate,Susceptible,Intermediate,Intermediate,Intermediate,Susceptible
NSIC RC 412H (Mestiso 70),464.21,6.5,Slender,22.6,73.3,8.9,1.95,,White,Glossy,Slightly Chalky,Slightly Hard,Pleasant,Slightly Off-odor,White,Slightly Glossy,Separated,Slightly Tender,Slightly Smooth,Bland,6,8.7,112,99,64.6,Resistant,Intermediate,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 432H (Mestiso 71),507.21,7.4,Slender,23.2,72.4,8.7,2.67,,White,Glossy,Chalky,Hard,Bland,,White,Slightly Glossy,Separated,Slightly Tender,Slightly Smooth,Tasty,6.6,10.8,109,101,67.2,Intermediate,Susceptible,Intermediate,Susceptible,Susceptible,Susceptible
NSIC RC 444H (Mestiso 72),516.16,7.2,Slender,23.8,72.8,7.6,2.12,,White,Glossy,Slightly Chalky,Hard,Bland,,Creamy White,Glossy,Cohesive,Slightly Tender,Slightly Smooth,Slightly Tasty,7,10.1,105,101,66.4,Resistant,Intermediate,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 446H (Mestiso 73),463.76,6.6,Slender,20.2,69.7,8.1,2.37,,White,Glossy,Slightly Chalky,Slightly Hard,Bland,,White,Slightly Glossy,Cohesive,Slightly Tender,Slightly Smooth,Bland,5.6,8.9,124,100,64.6,Intermediate,Susceptible,Intermediate,Susceptible,Intermediate,Intermediate
NSIC RC 448H (Mestiso 74),512.82,6.4,Slender,20.4,69.1,7.2,1.72,,White,Slightly Glossy,Translucent,Slightly Hard,Pleasant,Slightly Off-odor,White,Glossy,Cohesive,Tender,Slightly Smooth,Tasty,7.1,9.1,109,100,70.1,Intermediate,Intermediate,Susceptible,Susceptible,Intermediate,Susceptible
NSIC RC 450H (Mestiso 75),476.78,7.2,Intermediate,18.6,72.5,7,1.75,,White,Glossy,Translucent,Slightly Hard,Bland,,White,Slightly Glossy,Cohesive,Slightly Tender,Smooth,Bland,6.3,8.8,123,105,66.8,Resistant,Resistant,Susceptible,Intermediate,Intermediate,Susceptible
NSIC RC 452H (Mestiso 76),503.23,7.1,Slender,21.8,72.8,7.7,1.55,,White,Glossy,Translucent,Slightly Hard,Pleasant,,White,Slightly Glossy,Slightly Cohesive,Slightly Tender,Slightly Smooth,Bland,6.9,10.5,120,99,64.5,Resistant,Intermediate,Susceptible,Intermediate,Resistant,Intermediate
NSIC RC 454H (Mestiso 77),503.35,7.1,Slender,18.2,73.9,7.4,1.72,Aromatic,White,Dull,Translucent,Hard,Bland,,Creamy White,Glossy,Cohesive,Slightly Tender,Smooth,Slightly Tasty,6.9,9.7,114,112,64.7,Intermediate,Intermediate,Susceptible,Intermediate,Intermediate,Susceptible
NSIC RC 456H (Mestiso 78),493.58,7.2,Slender,21,70.5,8,1.86,,White,Glossy,Translucent,Slightly Hard,Bland,,White,Slightly Glossy,Slightly Cohesive,Slightly Tender,Slightly Smooth,Bland,6.1,10.5,120,100,66.2,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate,Susceptible
NSIC RC 458H (Mestiso 79),449.03,6.5,Intermediate,21.5,70.2,6.7,1.73,Slightly Aromatic,White,Slightly Glossy,Translucent,Hard,Pleasant,Slightly Off-odor,White,Glossy,Cohesive,Tender,Smooth,Tasty,6.3,8.3,113,95,70.6,Susceptible,Susceptible,Intermediate,Intermediate,Resistant,Susceptible
NSIC RC 486 (Mestiso 80),523.53,6.8,Intermediate,19.9,72.7,8.9,1.62,,White,Slightly Glossy,Translucent,Hard,Pleasant,,White,Glossy,Slightly Cohesive,Slightly Tender,Smooth,Bland,7,10.1,116,98,66.7,Susceptible,Susceptible,Susceptible,Susceptible,Intermediate,Intermediate
NSIC RC 488 (Mestiso 81),472.08,6.5,Slender,21.8,70,9,1.66,Slightly Aromatic,White,Slightly Glossy,Translucent,Hard,Bland,,White,Slightly Glossy,Separated,Slightly Tender,Smooth,Slightly Tasty,6.7,10.2,120,96,67.1,Intermediate,Susceptible,Intermediate,Susceptible,Intermediate,Susceptible
NSIC RC 490 (Mestiso 82),458.65,7.3,Slender,18.2,73.6,8.2,2.1,Slightly Aromatic,White,Slightly Glossy,Slightly Chalky,Slightly Hard,Pleasant,Slightly Off-odor,White,Slightly Glossy,Slightly Cohesive,Tender,Smooth,Slightly Tasty,6.1,9.9,107,110,69,Intermediate,Intermediate,Intermediate,Susceptible,Resistant,Susceptible
